verb		list	atpdwnv	ttpupv	tbdwnv	abupv	allacrh	tlracrh	trlacrh	arracrh		upwrd	dwnwrd	vert	left	right	horiz	toward	away
gallop		1	0.43	0.37	0.13	0.90	2.77	0.13	0.83	0.93		1.27	0.57	1.83	3.60	1.07	4.67	1.47	5.03
germinate	3	0.40	1.33	0.23	2.37	0.83	0.10	0.40	0.27		3.70	0.63	4.33	1.23	0.37	1.60	2.07	3.87
give		2	1.06	0.13	0.06	1.56	2.94	0.19	0.06	1.47		1.69	1.13	2.81	3.00	1.66	4.66	0.44	7.03
glide		3	0.50	0.40	0.13	0.33	2.60	0.67	1.30	1.50		0.73	0.63	1.37	3.90	2.17	6.07	2.50	4.93
go		2	0.50	0.38	0.19	1.22	3.06	0.38	0.59	1.19		1.59	0.69	2.28	3.66	1.56	5.22	1.53	5.97
grab		2	1.44	0.00	0.25	1.28	2.38	0.41	0.38	1.59		1.28	1.69	2.97	2.75	2.00	4.75	1.03	6.69
grieve		1	1.87	0.10	0.53	0.37	0.77	0.47	0.27	0.87		0.47	2.40	2.87	1.03	1.33	2.37	1.37	3.87
grow		3	0.17	2.03	0.00	3.23	0.53	0.00	0.00	0.17		5.27	0.17	5.43	0.53	0.17	0.70	2.03	4.10
guide		3	0.77	0.97	0.67	0.73	1.93	1.13	1.20	1.00		1.70	1.43	3.13	3.13	2.13	5.27	3.97	4.43
hang		*	1.90	0.48	1.32	1.22	0.05	0.00	0.00	0.00		1.70	3.22	4.92	0.05	0.00	0.05	1.80	3.17
haul		2	0.56	0.97	0.25	0.63	0.84	1.59	1.56	0.69		1.59	0.81	2.41	2.41	2.28	4.69	4.38	2.72
heighten	add	0.50	0.50	0.25	3.58	1.08	0.00	0.00	0.33		4.08	0.75	4.83	1.08	0.33	1.42	0.75	5.50
hike		2	0.38	1.31	0.00	2.09	1.53	0.13	0.59	0.66		3.41	0.38	3.78	2.13	0.78	2.91	2.03	4.66
hoist		2	0.63	1.69	0.50	2.03	0.00	0.22	0.13	0.19		3.72	1.13	4.84	0.13	0.41	0.53	2.53	2.84
hold		1	1.37	0.37	0.00	1.97	1.47	0.33	0.47	0.67		2.33	1.37	3.70	1.93	1.00	2.93	1.17	5.47
honour		2	0.66	0.38	0.00	2.94	1.41	0.00	0.00	0.84		3.31	0.66	3.97	1.41	0.84	2.25	0.38	5.84
hop		3	0.50	1.87	0.40	2.37	0.80	0.00	0.30	0.27		4.23	0.90	5.13	1.10	0.27	1.37	2.57	3.93
hope		*	0.41	1.12	0.16	2.84	0.82	0.18	0.33	0.38		3.96	0.57	4.53	1.15	0.56	1.71	1.79	4.45
humble		3	2.73	0.20	0.13	0.53	0.57	0.23	0.13	0.83		0.73	2.87	3.60	0.70	1.07	1.77	0.70	4.67
humiliate	3	3.07	0.20	0.00	0.53	1.23	0.17	0.13	1.27		0.73	3.07	3.80	1.37	1.43	2.80	0.50	6.10
hunt		1	1.30	0.00	0.00	0.67	3.03	0.00	0.00	1.83		0.67	1.30	1.97	3.03	1.83	4.87	0.00	6.83
hurry		3	0.67	0.20	0.37	0.73	2.77	0.67	1.30	1.33		0.93	1.03	1.97	4.07	2.00	6.07	2.53	5.50
idolize		3	0.47	0.13	0.17	3.23	1.00	0.33	0.27	0.63		3.37	0.63	4.00	1.27	0.97	2.23	0.90	5.33
impact		3	1.80	0.13	0.07	0.97	2.83	0.47	0.27	2.10		1.10	1.87	2.97	3.10	2.57	5.67	0.93	7.70
impress		3	0.73	1.63	0.03	1.10	0.93	0.63	0.70	0.57		2.73	0.77	3.50	1.63	1.20	2.83	3.00	3.33
increase	*	0.31	0.96	0.11	3.19	1.08	0.02	0.17	0.34		4.15	0.42	4.57	1.25	0.35	1.61	1.26	4.92
inflate		add	0.58	0.00	0.00	2.83	2.67	0.00	0.00	1.50		2.83	0.58	3.42	2.67	1.50	4.17	0.00	7.58
